ID,GESTION,CATEGORIA,MES,BIMESTRE,TRIMESTRE,CUATRIMESTRE,SEMESTRE,ADUANA,NANDINA,PARTIDA,SUBPARTIDA,CAPITULO,SECCION,PAIS,AREA,MEDIO,VIA,DEPTO,CUCI,GCE,SECTOR,CODACT,CIIU_SECCION,CIIU,TNT,TNT_GRUPO,TNT_CLASE,KILBRU,KILNET,FINUNI,VALOR
134,1992,1,1,1,1,1,1,0,6406109000,6406,640610,64,12,589,10,5,9,3,8519,620,4,D12,D,1920,34,21,2,145,145,145,2125
135,1992,1,1,1,1,1,1,0,1208100000,1208,120810,12,2,589,10,8,3,3,2239,121,4,D5,D,1514,18,21,2,300000,300000,300000,69000
136,1992,1,1,1,1,1,1,0,2304000000,2304,230400,23,4,589,10,8,3,3,08131,220,4,D5,D,1514,18,21,2,300671,300000,300000,69000
137,1992,1,1,1,1,1,1,0,1507900000,1507,150790,15,3,589,10,9,6,3,42119,121,4,D5,D,1514,18,21,2,39780,36984,36984,34974
138,1992,1,1,1,1,1,1,0,0713509000,0713,071350,07,2,628,40,8,3,3,05425,112,1,A11,A,0111,34,21,2,18800,18800,18800,15980
139,1992,1,1,1,1,1,1,0,0801200000,0801,080120,08,2,628,40,8,3,3,05772,112,1,A1,A,0113,9,21,2,15568,15568,15568,48048
140,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,628,40,9,3,3,2875,210,3,C4,C,1320,3,11,1,1000000,948000,568421,626576
141,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,23,40,5,9,4,28911,210,3,C9,C,1320,8,11,1,2800,2436,832,103894
142,1992,1,1,1,1,1,1,0,2616901000,2616,261690,26,5,23,40,5,9,4,28919,210,3,C8,C,1320,7,11,1,463,403,135,1553987
143,1992,1,1,1,1,1,1,0,5805000000,5805,580500,58,11,23,40,5,9,4,65891,620,4,D9,D,1721,34,21,2,255,255,255,1149
144,1992,1,1,1,1,1,1,0,8001100000,8001,800110,80,15,63,10,8,8,4,68711,220,4,D17,D,2720,2,11,1,29775,29659,29644,164039
145,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,8,3,4,2875,210,3,C4,C,1320,3,11,1,240683,216615,95418,111491
146,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,87,40,8,3,4,28911,210,3,C9,C,1320,8,11,1,272,245,108,13805
147,1992,1,1,1,1,1,1,0,2607000000,2607,260700,26,5,87,40,9,3,4,2874,210,3,C7,C,1320,6,11,1,77885,73213,29542,15631
148,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,9,3,4,2875,210,3,C4,C,1320,3,11,1,3601986,3335726,1494807,1647738
149,1992,1,1,1,1,1,1,0,2609000000,2609,260900,26,5,87,40,9,3,4,2876,210,3,C3,C,1320,2,11,1,165528,161676,88095,486997
150,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,87,40,9,3,4,28911,210,3,C9,C,1320,8,11,1,4773,4441,1929,237437
151,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,3,3,4,2875,210,3,C4,C,1320,3,11,1,123874,111487,49110,54134
152,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,87,40,3,3,4,28911,210,3,C9,C,1320,8,11,1,141,127,56,6836
153,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,87,40,5,3,4,2875,210,3,C4,C,1320,3,11,1,119314,107382,47302,55270
154,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,87,40,5,3,4,28911,210,3,C9,C,1320,8,11,1,136,123,54,6844
155,1992,1,1,1,1,1,1,0,8001100000,8001,800110,80,15,169,10,5,9,4,68711,220,4,D17,D,2720,2,11,1,14942,14882,14875,82312
156,1992,1,1,1,1,1,1,0,8001100000,8001,800110,80,15,211,10,9,3,4,68711,220,4,D17,D,2720,2,11,1,25051,24951,24934,137974
157,1992,1,1,1,1,1,1,0,2617100000,2617,261710,26,5,249,32,9,3,4,28799,210,3,C6,C,1320,5,11,1,3321,3122,3091,4478
158,1992,1,1,1,1,1,1,0,8001100000,8001,800110,80,15,249,32,9,3,4,68711,220,4,D17,D,2720,2,11,1,1086205,1081885,1081319,5983584
159,1992,1,1,1,1,1,1,0,8110001000,8110,811000,81,15,249,32,9,3,4,68993,220,4,D20,D,2720,5,11,1,133249,127919,104638,143025
160,1992,1,1,1,1,1,1,0,7108120000,7108,710812,71,14,249,32,5,9,4,97101,220,4,D22,D,2720,7,11,1,22,22,22,251957
161,1992,1,1,1,1,1,1,0,2607000000,2607,260700,26,5,275,40,9,2,4,2874,210,3,C7,C,1320,6,11,1,12367,11996,6663,4188
162,1992,1,1,1,1,1,1,0,2608000000,2608,260800,26,5,275,40,9,2,4,2875,210,3,C4,C,1320,3,11,1,624319,605589,254341,280363
163,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,275,40,9,2,4,28911,210,3,C9,C,1320,8,11,1,1211,1175,518,63452
164,1992,1,1,1,1,1,1,0,2609000000,2609,260900,26,5,455,54,9,3,4,2876,210,3,C3,C,1320,2,11,1,61343,58890,34714,191580
165,1992,1,1,1,1,1,1,0,8001100000,8001,800110,80,15,589,10,9,6,4,68711,220,4,D17,D,2720,2,11,1,5048,5028,5025,27806
166,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,628,40,5,9,4,28911,210,3,C9,C,1320,8,11,1,2009,1742,515,63837
167,1992,1,1,1,1,1,1,0,2616901000,2616,261690,26,5,628,40,5,9,4,28919,210,3,C8,C,1320,7,11,1,337,286,84,981794
168,1992,1,1,1,1,1,1,0,2607000000,2607,260700,26,5,767,42,9,3,4,2874,210,3,C7,C,1320,6,11,1,150686,135617,39941,21133
169,1992,1,1,1,1,1,1,0,2616100000,2616,261610,26,5,767,42,9,3,4,28911,210,3,C9,C,1320,8,11,1,3154,2838,693,84849
